site,month,observations,usable_50,usable_70,usable_80,median_clear_water_fraction
cilegon-industrial-coast,1,29,1,0,0,0.000000
cilegon-industrial-coast,2,30,3,0,0,0.000000
cilegon-industrial-coast,3,30,5,0,0,0.000000
cilegon-industrial-coast,4,31,4,0,0,0.000042
cilegon-industrial-coast,5,32,7,0,0,0.050238
cilegon-industrial-coast,6,31,8,0,0,0.021131
cilegon-industrial-coast,7,32,17,0,0,0.521674
cilegon-industrial-coast,8,32,14,0,0,0.456799
cilegon-industrial-coast,9,32,13,0,0,0.206653
cilegon-industrial-coast,10,34,11,0,0,0.216362
cilegon-industrial-coast,11,32,2,0,0,0.000000
cilegon-industrial-coast,12,31,1,0,0,0.000000
teluk-awur-jepara,1,30,2,2,1,0.000000
teluk-awur-jepara,2,30,3,2,1,0.000000
teluk-awur-jepara,3,30,13,12,12,0.374767
teluk-awur-jepara,4,32,14,11,9,0.296746
teluk-awur-jepara,5,31,20,17,17,0.879916
teluk-awur-jepara,6,32,16,14,14,0.497516
teluk-awur-jepara,7,33,26,23,22,0.954929
teluk-awur-jepara,8,35,26,25,23,0.971836
teluk-awur-jepara,9,31,19,16,15,0.766577
teluk-awur-jepara,10,31,14,14,13,0.292440
teluk-awur-jepara,11,32,6,5,4,0.000000
teluk-awur-jepara,12,29,6,4,1,0.000000
