site,site_name,year,month,period,total_observations,scene_items,median_scene_cloud_cover,scene_cloud_le_20_observations,scene_cloud_le_50_observations,clear_water_50_observations,clear_water_70_observations,clear_water_80_observations,median_clear_water_fraction,site_longest_observation_gap_days,clear_water_status
morowali-imip,Morowali industrial coast near IMIP,2021,1,2021_2025,7,28,99.568,0,1,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,2,2021_2025,5,20,92.927,0,1,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,3,2021_2025,6,24,76.753,1,2,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,4,2021_2025,6,26,75.324,1,1,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,5,2021_2025,7,30,85.042,0,1,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,6,2021_2025,6,24,71.863,0,2,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,7,2021_2025,6,24,91.700,0,1,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,8,2021_2025,6,24,80.095,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,9,2021_2025,6,24,91.386,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,10,2021_2025,6,24,51.256,0,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,11,2021_2025,6,24,48.734,0,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2021,12,2021_2025,6,24,99.875,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,1,2021_2025,7,28,93.725,0,1,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,2,2021_2025,5,20,88.348,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,3,2021_2025,6,24,62.641,0,2,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,4,2021_2025,6,26,62.965,0,2,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,5,2021_2025,7,28,66.789,2,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,6,2021_2025,6,24,55.840,0,2,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,7,2021_2025,6,24,82.022,0,1,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,8,2021_2025,6,24,62.527,0,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,9,2021_2025,6,24,50.555,0,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,10,2021_2025,6,24,86.138,0,1,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,11,2021_2025,6,24,72.650,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2022,12,2021_2025,6,24,82.278,0,2,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2023,1,2021_2025,7,28,98.864,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
morowali-imip,Morowali industrial coast near IMIP,2023,2,2021_2025,5,20,99.733,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
